"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","30/2647","53/9370",0.566037735849057,2.00369232523825,4.59772005884648,1.34553704411228e-05,0.000100772136069686,NA,"477/493/161/486/5331/7421/112/6547/624/5330/8766/115/1213/482/1785/5566/478/1175/6543/160/2778/23236/5332/8218/491/5745/1212/1759/1211/5568",30
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","84/2647","199/9370",0.422110552763819,1.4942107591224,4.42152843044717,1.39058174237459e-05,0.000101975994440803,NA,"3362/2563/134/2786/2899/6512/150/6865/2900/6506/1132/5024/1128/1815/5331/5029/5031/6539/6540/112/2784/196883/2558/2567/5330/1136/1143/115/113/6530/51764/136/5026/5023/2793/255061/2905/2774/5032/5566/2767/2901/94235/2906/109/5443/151/2778/11255/11054/63910/1137/4987/23236/5332/2897/9127/135/6538/6529/3269/9934/2912/6870/152/2560/1816/154/147/2566/6507/108/2550/2914/1129/107/114/148/5368/8973/2902/6505/5568/9568",84
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","43/2647","86/9370",0.5,1.76992822062712,4.50063644428837,1.51386832044096e-05,0.000108751356896983,NA,"3782/477/779/818/3778/486/6833/90993/5331/775/112/196883/5330/115/113/482/6844/5566/3780/2767/2864/478/3783/54795/1385/109/2778/23236/5332/10242/885/776/815/3779/108/3710/117/2645/816/107/6804/114/5568",43
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","69/2647","157/9370",0.439490445859873,1.55573308564677,4.40613275834748,1.64526742599614e-05,0.000115826826790128,NA,"1855/5590/7042/54361/7161/353500/6934/55844/56288/9231/657/10413/7003/595/1740/81029/894/7471/26524/84962/7043/4088/8312/85407/7531/3996/7473/8313/3993/71/1453/4087/4089/126374/5518/2736/8324/151449/80326/1496/83439/3398/84612/655/3689/1454/102800317/7477/7476/25937/1857/1499/8994/7474/51176/5522/658/85409/6932/2246/23286/79981/7005/896/60/8326/23513/392255/6788",69
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","92/2647","224/9370",0.410714285714286,1.45386960980085,4.31401399219208,2.05471773321793e-05,0.000141815812175042,NA,"200186/2224/7042/10000/3725/3716/5293/9184/5599/3601/7417/90993/3265/5970/10524/8061/595/894/112/9700/7132/4055/920/8881/5925/207/196883/4776/4792/387332/2353/7043/83660/5604/4088/5595/1387/115/113/4775/2648/6777/6776/9020/4215/7157/4087/4089/4772/3383/5566/6929/3718/23373/208/5605/8498/3554/1385/109/1869/958/3689/5902/5594/3560/2033/115650/706/25847/4790/5602/7416/8697/5601/4214/108/3113/3115/896/6722/8379/3569/107/8295/114/3551/7419/9134/29882/7094/5568",92
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","57/2647","125/9370",0.456,1.61417453721194,4.33745907871034,2.40830338210273e-05,0.000163023613557723,NA,"2207/134/5590/10000/5293/55844/5599/3265/5331/5970/9846/7132/123099/5527/207/5529/624/5330/5604/4363/5170/5595/94103/5338/10672/8877/7157/5881/596/53637/10715/208/5605/5518/79603/5581/23236/5332/637/5594/5880/6300/5600/4790/5522/5602/5601/2534/5603/5528/4846/2768/5879/8439/7186/1903/10558",57
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","50/2647","106/9370",0.471698113207547,1.66974360436521,4.35115214136181,2.46823091888353e-05,0.000163927789329623,NA,"2475/842/3645/10000/5293/6934/2263/5328/90993/3265/5970/595/2348/5925/3320/207/4792/5604/3480/5170/5595/1387/113235/2064/2885/7157/596/208/5605/1385/7039/83439/1869/7113/6573/5594/2033/2119/1499/4790/51176/5156/6932/5159/5154/1956/2260/5327/3551/9134",50
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","27/2647","47/9370",0.574468085106383,2.03353455135882,4.45695368570157,2.51658699180134e-05,0.000164044189095199,NA,"2475/5313/5590/5293/5599/80201/3098/6833/775/5315/5595/8913/6517/773/3643/5581/3099/5594/5580/776/5602/3101/5601/2645/389692/3551/774",27
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","40/2647","80/9370",0.5,1.76992822062712,4.33939724941169,2.97571292079776e-05,0.000190445626931056,NA,"2475/3570/10000/3716/5293/2263/3265/2065/2621/207/399694/5604/3480/5595/4763/2064/6774/2885/596/208/5605/558/25759/7039/6714/5594/2247/2549/2261/5156/9542/5159/253314/2309/7422/3569/5154/1956/3084/53358",40
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","96/2647","238/9370",0.403361344537815,1.42784125361516,4.19498314022924,3.23667915102465e-05,0.000203448403778692,NA,"1435/4803/4914/1969/5322/391013/83593/2786/10000/5293/2253/2263/5599/51196/3481/3265/54979/10235/5970/9610/9846/283455/2784/22821/207/5228/801/56924/100137049/123745/283748/399694/5604/5923/3480/5595/51764/8844/4763/5338/2793/4804/2885/5881/1943/5566/64926/10298/208/5605/25759/808/94235/6237/27006/3643/5899/7039/7535/6789/7074/5594/50487/5880/8398/22808/4790/2247/2549/2261/5156/3815/5602/2246/1436/5159/8817/2264/5601/8831/7422/55770/9771/5154/1956/5879/8822/2260/3551/285/5900/2902/7010/5568/4915/53358",96
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","35/2647","68/9370",0.514705882352941,1.82198493299851,4.26846947735889,4.24977238036257e-05,0.000262442083839934,NA,"2475/10000/5293/6934/7704/3265/5970/595/207/1053/5604/5371/597/5595/3728/6777/6776/6774/4353/2885/1050/208/5605/8864/83439/861/5594/4790/51176/3815/6932/1436/5467/5292/3551",35
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","36/2647","71/9370",0.507042253521127,1.79485678711483,4.21834379590114,5.02687149517757e-05,0.000305079097638363,NA,"10000/5293/1586/5599/2001/3265/5970/595/894/207/2100/2353/399694/5604/5595/6777/6776/6774/2885/208/5605/25759/3972/3973/6714/5594/6300/5600/4790/5602/3659/5601/2309/5603/2645/53358",36
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","30/2647","56/9370",0.535714285714286,1.89635166495763,4.22130138954204,5.61560253203062e-05,0.000335032557843183,NA,"23432/8643/51684/50937/595/408/57758/894/374654/23295/409/8405/1453/596/5566/1455/1954/2736/4036/1454/102800317/91653/132884/2121/6608/6469/23288/2737/5568/5727",30
