"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060828","regulation of canonical Wnt signaling pathway","46/1791","278/18860",0.165467625899281,1.74244523978807,4.0396494624845,0.000138036049377685,0.0105107186545876,NA,"ASPM/CCNY/USP47/LGR4/WNK1/PTPRO/LGR5/FOXO1/SCEL/PSEN1/CCDC88C/CSNK1G1/CYLD/SHISA6/CDH2/USP34/CCNYL1/STK4/APP/KREMEN1/CTNNB1/GSK3B/PPP2R3A/TBL1XR1/RBPJ/NFKB1/JADE1/TMEM131L/SEMA5A/CTNND2/APC/MCC/CSNK1G3/CSNK1A1/FOXO3/LATS1/HECW1/FZD9/CDK14/TNKS/TMEM64/STK3/UBR5/MLLT3/GNAQ/TLE4",46
"GO:0099068","postsynapse assembly","20/1791","87/18860",0.229885057471264,2.42078848906089,4.30254379949257,0.000150262399627599,0.011293097488895,NA,"MARK1/DOCK1/NTRK3/CDH2/PUM2/CRIPT/NRXN1/RTN4/DOCK10/SYNDIG1/GAP43/NLGN1/GRID2/CYFIP2/LATS1/ELMO1/RELN/DOCK4/PTPRD/ABL1",20
"GO:0042552","myelination","30/1791","157/18860",0.191082802547771,2.01218406256335,4.12531169566522,0.000156758441055482,0.0116302704921548,NA,"SBF2/ACER3/TENM4/MTMR2/SCN8A/PALS1/NTRK3/NF1/ERBB2/EPB41L3/AFG3L2/ZNF24/PPP3R1/SCN2A/B4GALT5/S100B/MAPK1/RARB/CTNNB1/DLG1/ANK2/UGT8/ID4/POU3F2/FIG4/ADGRG6/QKI/HYCC1/PTN/LPAR1",30
"GO:0032271","regulation of protein polymerization","36/1791","202/18860",0.178217821782178,1.87671028409374,4.05790920303805,0.000161315586393675,0.0116931241277843,NA,"PDE4DIP/NME7/CAMSAP2/ADD3/AMBRA1/NUMA1/PAK1/RDX/EPS8/KIF21A/NAV3/CLIP1/HIP1R/EVL/HSP90AA1/SSH2/SKA1/PRKCE/SPTBN1/NCK2/CLASP1/CLASP2/DLG1/ADD1/SLIT2/SNCA/RICTOR/RASA1/CYFIP2/ARHGAP18/LATS1/SNX9/ARFGEF1/CYRIB/CDK5RAP2/ABL1",36
"GO:0007015","actin filament organization","69/1791","469/18860",0.147121535181237,1.54925301703971,3.90174860989341,0.000161646782481898,0.0116931241277843,NA,"LUZP1/WASF2/CAP1/PROX1/ACTN2/RHOBTB1/ADD3/SHTN1/MICAL2/GAS2/PAK1/RDX/EPS8/HIP1R/FERMT2/EVL/TJP1/MYO5A/CORO2B/IQGAP1/SSH2/MYO1D/MIR21/ROCK1/ROCK2/PRKCE/SPTBN1/CCDC88A/CTNNA2/NCK2/CLASP1/WIPF1/TMEFF2/ABI2/CLASP2/MIR138-1/CD47/CLRN1/PAK2/DLG1/ADD1/SLIT2/LIMCH1/ARFIP1/FHDC1/SEMA5A/RICTOR/PTGER4/JMY/RASA1/CYFIP2/PHACTR1/MYO6/WASF1/ARHGAP18/LATS1/SNX9/ELMO1/COBL/PPP1R9A/CALD1/BRAF/DLC1/ARFGEF1/WASHC5/CYRIB/TGFBR1/LPAR1/ABL1",69
"GO:0030705","cytoskeleton-dependent intracellular transport","37/1791","210/18860",0.176190476190476,1.85536146340166,4.03759722621294,0.000167579685373528,0.0119726375216865,NA,"KIF1B/FNBP1L/NME7/ARHGAP21/KIF5B/RAB6A/MAP6/DLG2/BORCS5/KIF21A/TUBA1A/PPFIA2/IFT88/CCDC88C/RASGRP1/MYO5A/TANC2/LRPPRC/CCDC88A/DYNC1I2/IFT70B/TRAK2/STAU1/APP/FYCO1/OPA1/HTT/WDR19/INTU/AP3B1/DTNBP1/KIF13A/DST/WASF1/RABGEF1/PCM1/AGTPBP1",37
"GO:0071375","cellular response to peptide hormone stimulus","54/1791","345/18860",0.156521739130435,1.64824120603015,3.93629290319497,0.000170389183329162,0.0120249049259251,NA,"REN/NUCKS1/ACTN2/AKT3/PIP4K2A/PAK1/SIK2/OSBPL8/ATP2B1/APPL2/PTPN11/FOXO1/PRKD1/FBN1/MYO5A/ZNF592/IGF1R/PRKCB/STAT5B/ROCK1/ROCK2/NCOA1/LHCGR/GRB14/STAT1/CREB1/CPS1/TOP1/NCOA5/GNAS/MAPK1/SMARCC1/CACNA2D3/GSK3B/OTOP1/CPEB2/FAM114A1/USO1/RAP1GDS1/PPP3CA/NFKB1/GAB1/EDNRA/APC/GCLC/PHIP/MAP3K7/HDAC9/KBTBD2/GRB10/YWHAG/NCOA2/GPR21/MAPKAP1",54
"GO:1904375","regulation of protein localization to cell periphery","30/1791","158/18860",0.189873417721519,1.99944872039523,4.08646814107902,0.000176235191484794,0.0122876271460542,NA,"TMEM59/GPSM2/RAP1A/PPP2R5A/KIF5B/RAB11FIP2/ZDHHC5/NUMA1/PICALM/RAB38/WNK1/AKAP5/ADAM10/CLTC/EPB41L3/PRKCE/NRXN1/SPTBN1/COMMD1/ACSL3/ATP2C1/DLG1/SNCA/CAMK2D/MRAP2/EPB41L2/EPM2A/GNAI1/ZDHHC2/ANXA13",30
"GO:0051961","negative regulation of nervous system development","29/1791","151/18860",0.19205298013245,2.02240044963597,4.08589594152668,0.000182712188602854,0.0125875647076752,NA,"NEGR1/TNR/PROX1/DIP2B/APPL2/SPART/PSEN1/PRTG/NTRK3/ULK2/NF1/DCC/MYCN/RTN4/TRAK2/CTNNB1/ROBO2/DRD3/PTPN13/PPP3CA/RAPGEF2/SEMA5A/CTNNA1/ID4/EPHA7/ELAPOR2/PTN/PCM1/BRINP1",29
"GO:1902514","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","8/1791","19/18860",0.421052631578947,4.43386523259573,4.8507752863606,0.000188671064426841,0.0128243235083213,NA,"PDE4B/NOS1AP/MIR21/UBR3/SESTD1/CAMK2D/PDE4D/CACNA2D1",8
